,price,bedrooms,bathrooms,sqft,city,state,latitude,longitude,homeType,homeStatus,distance_to_waterfront,additional_info,ind_HasGarage,features,ind_HasPool,ind_GolfCourseNearby,ind_ShoppingNearby,ind_Clubhouse,ind_RecreationNearby,ind_ParkNearby,ind_IsCornerLot,ind_IsCuldesac,price/sqft
1,499999.0,3.0,2.0,1689.0,Delta,BC,49.086514,-123.10376,SINGLE_FAMILY,FOR_SALE,5.255870297873052,"{'garage_stalls': None, 'features': 'Adult Oriented, Marina Nearby, Recreation Nearby, Shopping Nearby'}",0.0,"Adult Oriented, Marina Nearby, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,False,296.0325636471285
2,1679000.0,4.0,4.0,2679.0,Delta,BC,49.089947,-123.09065,SINGLE_FAMILY,FOR_SALE,6.365243998095062,"{'garage_stalls': 2, 'features': None}",2.0,NA,False,False,False,False,False,False,False,False,626.7263904441955
3,1390000.0,5.0,4.0,3316.0,Delta,BC,49.022392,-123.09127,SINGLE_FAMILY,FOR_SALE,1.259602814349385,"{'garage_stalls': None, 'features': None}",0.0,NA,False,False,False,False,False,False,False,False,419.17973462002413
4,5888000.0,8.0,8.0,8111.0,Delta,BC,49.01491,-123.09155,SINGLE_FAMILY,FOR_SALE,0.9342138822306755,"{'garage_stalls': 3, 'features': 'Near Golf Course, Recreation Nearby, Shopping Nearby'}",3.0,"Near Golf Course, Recreation Nearby, Shopping Nearby",False,True,True,False,True,False,False,False,725.9277524349649
5,1998000.0,5.0,4.0,4701.0,Delta,BC,49.013058,-123.0916,SINGLE_FAMILY,FOR_SALE,0.8556799737702113,"{'garage_stalls': 1, 'features': 'Near Golf Course, Greenbelt, Recreation Nearby, Shopping Nearby, Ski Hill Nearby, Garden'}",1.0,"Near Golf Course, Greenbelt, Recreation Nearby, Shopping Nearby, Ski Hill Nearby, Garden",False,True,True,False,True,False,False,False,425.0159540523293
6,1098000.0,3.0,2.0,1608.0,Delta,BC,49.08868,-123.09011,SINGLE_FAMILY,FOR_SALE,6.278950140858512,"{'garage_stalls': None, 'features': 'Central Location, Recreation Nearby, Shopping Nearby'}",0.0,"Central Location, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,False,682.8358208955224
7,1649900.0,4.0,4.0,5390.0,Delta,BC,49.085815,-123.09018,SINGLE_FAMILY,FOR_SALE,6.006250642525365,"{'garage_stalls': 2, 'features': 'Central Location, Cul-De-Sac, Recreation Nearby, Shopping Nearby'}",2.0,"Central Location, Cul-De-Sac, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,True,306.1038961038961
8,1699000.0,3.0,2.0,2942.0,Delta,BC,49.02402,-123.09485,SINGLE_FAMILY,FOR_SALE,0.9516024868081197,"{'garage_stalls': 2, 'features': 'Private'}",2.0,Private,False,False,False,False,False,False,False,False,577.4983004758668
10,1249000.0,2.0,3.0,1833.0,Delta,BC,49.005028,-123.09063,SINGLE_FAMILY,FOR_SALE,0.6386422309392383,"{'garage_stalls': None, 'features': None}",0.0,NA,False,False,False,False,False,False,False,False,681.3966175668303
11,1995000.0,2.0,2.0,1450.0,Delta,BC,49.004993,-123.09045,SINGLE_FAMILY,FOR_SALE,0.6559835446675815,"{'garage_stalls': None, 'features': 'Cul-De-Sac, Recreation Nearby, Shopping Nearby'}",0.0,"Cul-De-Sac, Recreation Nearby, Shopping Nearby",False,False,True,False,True,False,False,True,1375.8620689655172
12,1700000.0,0.0,0.0,600.0,Delta,BC,49.087933,-123.098854,SINGLE_FAMILY,FOR_SALE,5.683604870954671,"{'garage_stalls': None, 'features': 'Central Location, Near Golf Course, Marina Nearby, Shopping Nearby'}",0.0,"Central Location, Near Golf Course, Marina Nearby, Shopping Nearby",False,True,True,False,False,False,False,False,2833.3333333333335
13,1900000.0,0.0,0.0,1200.0,Delta,BC,49.088005,-123.098595,SINGLE_FAMILY,FOR_SALE,5.7059130973518695,"{'garage_stalls': None, 'features': 'Near Golf Course, Marina Nearby, Recreation Nearby, Rural Setting, Shopping Nearby'}",0.0,"Near Golf Course, Marina Nearby, Recreation Nearby, Rural Setting, Shopping Nearby",False,True,True,False,True,False,False,False,1583.3333333333333
